Branch,barcode,Product Category,Name,Unit of Measure,May,quantity,Rate,Amount,Zero Check,KIT items,Actual ID,conversion,Actual Qty
Badar,6291023143032,Pantry,Sweet'n Low - Sugar Free Chocolate Syrup Lite (510g),Units,0,0,1605.74,0,0,#N/A,#N/A,#N/A,#N/A
Badar,6291023143049,Pantry,Sweet'n Low - Sugar Free Strawberry Syrup Lite (510g),Units,0,0,1622.05,0,0,#N/A,#N/A,#N/A,#N/A
Badar,330,Vegetables,Swiss Chard (100g),Units,0,0,100,0,0,#N/A,#N/A,#N/A,#N/A
Badar,6533411323764,Pantry,Symas - Pizza Crust (4pcs),Units,0,0,148,0,0,#N/A,#N/A,#N/A,#N/A
Badar,0019962820670,Pantry,Symas - Pizza Crust Large (12 inch),Units,0,0,144,0,0,#N/A,#N/A,#N/A,#N/A
Badar,0019962820779,Pantry,Symas - Pizza Crust Medium (10 inch),Units,0,0,128,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2212,Pantry,TBB - Banana Bread Oval Tray Loaf,Units,0,0,399.2,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2213,Pantry,TBB - Banana Bread Square Tray Slices,Units,0,0,399.2,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2062,Pantry,TBB - Banana bread with chocolate chip & Walnut,Units,13,0,399.2,0,13,#N/A,#N/A,#N/A,#N/A
Badar,3343,Pantry,TBB - Eid Gift Tray,Units,0,0,3840,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2129,Pantry,TBB - One Pound Loaf Banana bread,Units,0,0,1600,0,0,#N/A,#N/A,#N/A,#N/A
Badar,2470,Pantry,TBB - The baker Mama Apple Bread,Units,0,0,399.2,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1142,Pantry,TBC- Multigrain Bread,Units,0,0,205,0,0,#N/A,#N/A,#N/A,#N/A
Badar,349,Milk Dairy and Cheese,TCF - Cottage Cheese Cubes,Units,13,0,435,0,13,#N/A,#N/A,#N/A,#N/A
Badar,3188,Milk Dairy and Cheese,TCF - Cottage Cheese Cubes Hot Honey,Units,0,0,550,0,0,#N/A,#N/A,#N/A,#N/A
Badar,305,Milk Dairy and Cheese,TCF - Cottage Cheese Plain,Units,9,4,430,1720,13,#N/A,#N/A,#N/A,#N/A
Badar,370,Milk Dairy and Cheese,TCF - Cottage cheese cubes with Herbs,Units,7,6,470,2820,13,#N/A,#N/A,#N/A,#N/A
Badar,306,Milk Dairy and Cheese,TCF - Cream Cheese,Units,0,0,425,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1423,Milk Dairy and Cheese,TCF - Cream Cheese With Herbs,Units,0,0,470,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3206,Milk Dairy and Cheese,TCF - Greek Yogurt Honey,Units,0,0,550,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3207,Milk Dairy and Cheese,TCF - Greek Yogurt Pineapple,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
Badar,3205,Milk Dairy and Cheese,TCF - Greek Yogurt Strawberry,Units,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A
